Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales
Pro Evolution Soccer 2013;PSP;2012.00;Sports;Konami Digital Entertainment;0;0.07;0.18;0.03
LEGO The Hobbit;XOne;2014.00;Action;Warner Bros. Interactive Entertainment;0.13;0.12;0;0.02
18 Wheeler: American Pro Trucker;PS2;2001.00;Racing;Acclaim Entertainment;0.2;0.15;0;0.05
Enclave;XB;2002.00;Adventure;Swing! Entertainment;0.11;0.03;0;0.01
Hakuouki: Yuugi Roku;PSP;2010.00;Adventure;Idea Factory;0;0;0.07;0
Orphen: Scion of Sorcery;PS2;2000.00;Role-Playing;Activision;0.15;0.12;0;0.04
Rogue Warrior;X360;2009.00;Shooter;Bethesda Softworks;0.09;0.01;0;0.01
Atelier Escha & Logy: Alchemists of the Dusk Sky;PSV;2015.00;Role-Playing;Tecmo Koei;0;0;0.04;0
Mawashite Tsunageru Touch Panic;DS;2006.00;Puzzle;Nintendo;0;0;0.05;0
The Suite Life of Zack & Cody: Circle of Spies;DS;2007.00;Action;Disney Interactive Studios;0.17;0.09;0;0.03
Goat Simulator;XOne;2016.00;Simulation;Koch Media;0;0.01;0;0
World Soccer Winning Eleven 2002;PS;2002.00;Sports;Konami Digital Entertainment;0;0;0.12;0.01
Emblem of Gundam;DS;2008.00;Strategy;Namco Bandai Games;0;0;0.06;0
Zombie Army Trilogy;PS4;2015.00;Shooter;Rebellion Developments;0.04;0.12;0;0.03
Bust A Groove 2;PS;1999.00;Misc;Enix Corporation;0.04;0.03;0.18;0.02
25 to Life;XB;2006.00;Shooter;Eidos Interactive;0.12;0.04;0;0.01
Dream Club Zero Portable;PSV;2011.00;Simulation;D3Publisher;0;0;0.03;0
Hanayamata: Yosakoi Live;PSV;2014.00;Adventure;Namco Bandai Games;0;0;0.01;0
World Soccer Jikkyou Winning Eleven 3: World Cup France '98;PS;1998.00;Sports;Konami Digital Entertainment;0;0;0.75;0.05
Vietcong: Purple Haze;PS2;2004.00;Shooter;Gathering of Developers;0.09;0.07;0;0.02
NARC;XB;2005.00;Shooter;Midway Games;0.14;0.04;0;0.01
Paws & Claws: Dogs & Cats Best Friends;DS;2007.00;Simulation;THQ;0.46;0.01;0;0.04
TransFormers Animated: The Game;DS;2008.00;Action;Activision;0.15;0.01;0;0.01
Scooby-Doo! Mystery Mayhem;XB;2004.00;Action;THQ;0.11;0.03;0;0.01
Tom Clancy's Splinter Cell: Conviction;X360;2010.00;Action;Ubisoft;1.2;0.63;0.04;0.19
Pimp My Ride;Wii;2008.00;Racing;Activision;0.1;0;0;0.01
One Piece: Burning Blood;PSV;2016.00;Fighting;Namco Bandai Games;0;0.03;0.07;0.01
RPG Tsukuru DS;DS;2010.00;Role-Playing;Enterbrain;0;0;0.05;0
Highschool Terra Story;SAT;1998.00;Adventure;KID;0;0;0.03;0
Hana to Otome ni Shukufuku o: Harekaze no Okurimono;PS2;2010.00;Adventure;Alchemist;0;0;0.02;0
Disgaea 2: Dark Hero Days;PSP;2009.00;Role-Playing;Nippon Ichi Software;0.1;0.01;0.12;0.02
Vandal Hearts;PS;1996.00;Role-Playing;Konami Digital Entertainment;0.14;0.09;0.19;0.03
Big Mutha Truckers;GC;2003.00;Racing;Empire Interactive;0.06;0.02;0;0
Spider-Man 3;Wii;2007.00;Platform;Activision;0.42;0.02;0;0.04
Purr Pals;DS;2007.00;Simulation;THQ;0.18;0.36;0;0.02
Accel World: Ginyoku no Kakusei;PS3;2012.00;Adventure;Namco Bandai Games;0;0;0.03;0
Worldwide Soccer Manager 2009;PC;2008.00;Simulation;Sega;0;1.14;0;0.01
NBA Street Homecourt;X360;2007.00;Sports;Electronic Arts;0.45;0.01;0;0.04
Ultimate Fighting Championship: Throwdown;PS2;2002.00;Fighting;Ubisoft;0.16;0.12;0;0.04
Dragon Age Origins: Awakening;PS3;2010.00;Role-Playing;Spike;0.24;0;0;0.02
Oyaku de Asoberu DS Ehon: Ukkari Penelope;DS;2008.00;Simulation;Tecmo Koei;0;0;0.02;0
Petz Dogz 2;DS;2007.00;Simulation;Ubisoft;0.47;0.52;0;0.12
SplashDown: Rides Gone Wild;PS2;2003.00;Racing;THQ;0.24;0.19;0;0.06
SÃ©bastien Loeb Rally Evo;XOne;2016.00;Racing;Milestone S.r.l;0;0.01;0;0
Apex;XB;2003.00;Racing;Atari;0.1;0.03;0;0
BloodRayne;GC;2002.00;Shooter;Universal Interactive;0.09;0.02;0;0
World Series of Poker: Tournament of Champions 2007 Edition;Wii;2006.00;Misc;Activision;0.04;0;0;0
SNK vs. Capcom: SVC Chaos;XB;2004.00;Fighting;Ignition Entertainment;0.08;0.02;0;0
Azure Dreams;PS;1997.00;Role-Playing;Konami Digital Entertainment;0.07;0.05;0;0.01
Big Idea's VeggieTales: LarryBoy and the Bad Apple;GBA;2006.00;Action;Crave Entertainment;0.01;0;0;0
Omega Boost;PS;1999.00;Shooter;Sony Computer Entertainment;0.17;0.11;0.2;0.03
1/2 Summer +;PSP;2013.00;Adventure;Kaga Create;0;0;0.01;0
Halo 2;PC;2007.00;Shooter;Microsoft Game Studios;0.01;0.06;0;0.02
Pitfall: The Lost Expedition;XB;2004.00;Platform;Activision;0.05;0.01;0;0
LEGO Marvel Super Heroes;XOne;2013.00;Action;Warner Bros. Interactive Entertainment;0.61;0.34;0;0.09
Harry Potter: Quidditch World Cup;PS2;2003.00;Sports;Electronic Arts;0.44;0.34;0;0.11
Avatar: The Game;Wii;2009.00;Action;Ubisoft;0.33;0.32;0;0.08
Tamagotchi no Doki Doki Dream Omisecchi;3DS;2013.00;Simulation;Namco Bandai Games;0;0;0.03;0
MotoGP 14;PSV;2014.00;Racing;Milestone S.r.l.;0;0.01;0;0
Child of Light;PSV;2014.00;Role-Playing;Ubisoft;0;0.07;0.02;0.02
Arcana Famiglia 2;PSP;2013.00;Adventure;Comfort;0;0;0.02;0
Cabela's Dangerous Hunts 2009;Wii;2008.00;Sports;Activision Value;0.36;0;0;0.03
Bottom of the 9th;PS;1996.00;Sports;Konami Digital Entertainment;0.08;0.05;0;0.01
Rayman Raving Rabbids 2;DS;2007.00;Misc;Ubisoft;0.73;0.01;0;0.06
Battlefield: Bad Company;PS3;2008.00;Shooter;Electronic Arts;0.76;0.36;0.05;0.18
Mega Man Zero 2;GBA;2003.00;Platform;Capcom;0.18;0.07;0.17;0.01
AMF Bowling Pinbusters!;DS;2008.00;Sports;Vir2L Studios;0.06;0;0;0
Growlanser: Heritage of War (jp sales);PS2;2006.00;Role-Playing;Rising Star Games;0;0;0.05;0
Whac-A-Mole;DS;2005.00;Puzzle;Zoo Digital Publishing;0.07;0;0;0.01
Disney Universe;PS3;2011.00;Action;Disney Interactive Studios;0.3;0.23;0;0.09
Madden NFL 06;DS;2005.00;Sports;Electronic Arts;0.11;0;0;0.01
Marvel: Ultimate Alliance 2;DS;2009.00;Role-Playing;Activision;0.16;0.03;0;0.02
ESPN NBA 2Night 2002;PS2;2002.00;Sports;Konami Digital Entertainment;0.02;0.01;0;0
Terraria;PSV;2013.00;Action;Screenlife;0;0.01;0.09;0
Bionicle Heroes;X360;2006.00;Shooter;Eidos Interactive;0.05;0.01;0;0.01
Genkai Tokki: Seven Pirates;PSV;2016.00;Role-Playing;Compile Heart;0;0;0.02;0
Backyard NFL Football '10;Wii;2009.00;Sports;Atari;0.16;0;0;0.01
The Darkness;X360;2007.00;Shooter;Take-Two Interactive;0.36;0.04;0.01;0.04
NHL 08;X360;2007.00;Action;Electronic Arts;0.22;0.01;0;0.02
Utawarerumono: Itsuwari no Kamen;PS4;2015.00;Adventure;Aqua Plus;0;0;0.06;0
Jikkyou World Soccer 2002;PS2;2002.00;Sports;Konami Digital Entertainment;0;0;0.04;0
Soccer;NES;1985.00;Sports;Nintendo;0.18;0.23;1.53;0.02
Gourmet Chef: Cook Your Way to Fame;DS;2008.00;Misc;Ubisoft;0.13;0;0;0.01
Starry ? Sky: In Autumn;PSP;2010.00;Misc;Asgard;0;0;0.03;0
Jikkyou Powerful Pro Yakyuu 6;N64;1999.00;Sports;Konami Digital Entertainment;0;0;0.39;0.03
Break 'Em All;DS;2005.00;Puzzle;D3Publisher;0.11;0;0;0.01
Challenge Me: Brain Puzzles 2;Wii;2010.00;Puzzle;O-Games;0;0.06;0;0.01
Pool Party;Wii;2007.00;Sports;SouthPeak Games;0.04;0;0;0
Shining Ark;PSP;2013.00;Role-Playing;Sega;0;0;0.11;0
ZhuZhu Pets 2: Featuring The Wild Bunch;DS;2010.00;Simulation;Activision;0.41;0.11;0;0.04
Capcom vs. SNK 2: Millionaire Fighting 2001;DC;2001.00;Fighting;Capcom;0;0;0.12;0
SCORE International Baja 1000: The Official Game;PS2;2008.00;Racing;Activision;0;0;0;0
TouchMaster 3(Others sales);DS;2009.00;Puzzle;Warner Bros. Interactive Entertainment;0;0.24;0;0.02
Big Mutha Truckers 2;XB;2005.00;Racing;Empire Interactive;0.05;0.02;0;0
Top Gear Overdrive;N64;1998.00;Racing;Kemco;0.23;0.06;0;0
Ultimate Fighting Championship;PS;2000.00;Fighting;Ubisoft;0.14;0.09;0;0.02
Lost Heroes 2;3DS;2015.00;Action;Namco Bandai Games;0;0;0.07;0
The Black Eyed Peas Experience;X360;2011.00;Misc;Ubisoft;0.2;0.1;0;0.03
MVP Baseball 2003;XB;2003.00;Sports;Electronic Arts;0.15;0.04;0;0.01
Blood Will Tell: Tezuka Osamu's Dororo;PS2;2004.00;Adventure;Sega;0.02;0.02;0;0.01
Senran Kagura Burst: Guren no Sh?jo-tachi;3DS;2012.00;Action;Marvelous Entertainment;0;0;0.14;0
Ratchet & Clank: Up Your Arsenal;PS2;2004.00;Platform;Sony Computer Entertainment;1.31;0.74;0.31;0.22
Mobile Suit Gundam Battlefield Record U.C.0081;PS3;2009.00;Action;Namco Bandai Games;0;0;0.24;0
Cars: Race-O-Rama;Wii;2009.00;Racing;THQ;0.61;0.3;0;0.09
Hyper Formation Soccer;PS;1995.00;Sports;Human Entertainment;0;0;0.1;0.01
Fallout 3;X360;2008.00;Role-Playing;Bethesda Softworks;3.39;1.03;0.09;0.44
All Star Karate;Wii;2010.00;Action;THQ;0.14;0.07;0;0.02
Napoleon: Total War;PC;2010.00;Strategy;Sega;0.02;0.52;0;0.12
Ninja Gaiden 3;PS3;2012.00;Action;Tecmo Koei;0.19;0.1;0.11;0.05
SD Gundam: Gashapon Wars;Wii;2010.00;Strategy;Namco Bandai Games;0;0;0.03;0
MX vs. ATV: Alive;PS3;2011.00;Racing;THQ;0.24;0.15;0;0.07
Dragon Quest IV: Chapters of the Chosen;DS;2007.00;Role-Playing;Square Enix;0.32;0.02;1.27;0.03
Sengoku Musou 3 Empires;PS3;2011.00;Action;Tecmo Koei;0;0;0.14;0
Capcom Digital Collection;X360;2012.00;Action;Capcom;0.02;0.01;0;0
Need for Speed Underground 2;PC;2004.00;Racing;Electronic Arts;0;0.06;0;0.01
WipEout 3;PS;1999.00;Racing;Psygnosis;0.19;0.13;0;0.02
Little League World Series Baseball 2009;DS;2009.00;Sports;Activision;0.13;0;0;0.01
J-League Winning Eleven 2009: Club Championship;PS2;2009.00;Sports;Konami Digital Entertainment;0;0;0.08;0
F1 Pole Position 64;N64;1997.00;Racing;Ubisoft;0.11;0.13;0;0.01
Mighty Beanz: Pocket Puzzles;GBA;2004.00;Puzzle;Majesco Entertainment;0.04;0.01;0;0
Touch Shot! Love Application;PS3;2012.00;Adventure;Compile Heart;0;0;0.03;0
La Pucelle: Tactics;PS2;2002.00;Role-Playing;Tecmo Koei;0.09;0.07;0;0.02
Transformers: Prime;Wii;2012.00;Action;Activision;0;0.01;0;0
Spy Kids 3-D: Game Over;GBA;2003.00;Platform;Disney Interactive Studios;0.24;0.09;0;0.01
Race Driver: Create & Race;DS;2007.00;Racing;Codemasters;0.01;0;0;0
Super Mario Land 3: Wario Land;GB;1994.00;Platform;Nintendo;2.49;0.98;1.57;0.15
Pac-Man World 3;XB;2005.00;Platform;Namco Bandai Games;0.11;0.04;0;0.01
Jikkyou Powerful Pro Yakyuu 15;PS2;2008.00;Sports;Konami Digital Entertainment;0;0;0.24;0
.hack//Link;PSP;2010.00;Role-Playing;Namco Bandai Games;0;0;0.14;0
Jonas;DS;2009.00;Adventure;Disney Interactive Studios;0.28;0;0;0.02
Backyard Wrestling 2: There Goes the Neighborhood;PS2;2004.00;Fighting;Eidos Interactive;0.14;0.11;0;0.04
Tom Clancy's Ghost Recon 2;XB;2004.00;Shooter;Ubisoft;0.86;0.45;0;0.06
Rapala Pro Bass Fishing 2010;PS2;2010.00;Sports;Activision;0.04;0.03;0;0.01
Call of Duty: Modern Warfare Trilogy;PS3;2016.00;Shooter;Activision;0;0.01;0;0
Deus Ex: Mankind Divided;PC;2016.00;Role-Playing;Square Enix;0;0.02;0;0
SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen;DS;2010.00;Action;Namco Bandai Games;0;0;0.02;0
Puyo Puyo Tetris;WiiU;2014.00;Puzzle;Sega;0;0;0.02;0
Bullet Soul: Tama Tamashii;X360;2011.00;Shooter;5pb;0;0;0.01;0
Transformers;PS2;2004.00;Shooter;Atari;0.63;0.49;0;0.16
Touch 'N' Play Collection;DS;2010.00;Misc;O-Games;0.04;0.02;0;0.01
Star Ocean 5: Integrity and Faithlessness;PS3;2016.00;Role-Playing;Square Enix;0;0;0.04;0
Dance Dance Revolution: Hottest Party 5;Wii;2011.00;Misc;Konami Digital Entertainment;0;0.03;0;0
D1 Professional Drift Grand Prix Series;PS2;2005.00;Racing;Yuke's;0.01;0.01;0;0
Abunai: Koi no Sousa Shitsu;PSP;2012.00;Action;Quinrose;0;0;0.01;0
Death Jr. and the Science Fair of Doom;DS;2007.00;Platform;Konami Digital Entertainment;0.08;0;0;0.01
Persona 5;PS4;2016.00;Role-Playing;Atlus;0;0;0.34;0
Virtua Tennis 3;PSP;2007.00;Sports;Sega;0.02;0.03;0;0.01
Bookworm;DS;2009.00;Puzzle;PopCap Games;0.31;0.01;0;0.02
International Track & Field 2000;PS;1999.00;Sports;Konami Digital Entertainment;0.06;0.04;0;0.01
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu;DS;2010.00;Strategy;Nintendo;0;0;0.27;0
Lock On: Modern Air Combat;PC;2003.00;Simulation;Ubisoft;0;0.03;0;0.01
Disney's Magical Quest 2 Starring Mickey and Minnie;GBA;2003.00;Action;Capcom;0.05;0.02;0;0
CV Casting Voice;PS3;2014.00;Adventure;Namco Bandai Games;0;0;0.02;0
TrackMania Turbo;PS4;2016.00;Action;Ubisoft;0.03;0.24;0;0.05
Magician's Quest: Town of Magic;3DS;2012.00;Simulation;Konami Digital Entertainment;0;0;0.21;0
Summon Night: Swordcraft Story;GBA;2003.00;Role-Playing;Banpresto;0.02;0.01;0;0
Scarface: The World is Yours;XB;2006.00;Action;Vivendi Games;0.37;0.11;0;0.02
G-Force;PS3;2009.00;Action;Disney Interactive Studios;0.13;0.06;0;0.03
Jikkyou Powerful Pro Yakyuu Wii Ketteiban;Wii;2007.00;Sports;Konami Digital Entertainment;0;0;0.03;0
Donkey Kong Country;SNES;1994.00;Platform;Nintendo;4.36;1.71;3;0.23
Rugby Challenge 3;PS3;2016.00;Sports;Alternative Software;0;0.04;0;0.01
Tomb Raider: Legend;XB;2006.00;Action;Eidos Interactive;0.1;0.03;0;0
Keiba Eight Special;SNES;1993.00;Sports;Misawa;0;0;0.05;0
Cheer We Go!;DS;2010.00;Misc;Natsume;0.04;0;0;0
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009.00;Role-Playing;Nintendo;0.66;0.69;4.35;0.15
Armored Core 3;PS2;2002.00;Simulation;Metro 3D;0.22;0.17;0.23;0.06
Bratz Ponyz;DS;2007.00;Adventure;Game Factory;0.26;0;0;0.02
Resident Evil: Revelations;PC;2013.00;Action;Capcom;0;0.03;0;0.01
Rocket Power: Zero Gravity Zone;GBA;2003.00;Sports;THQ;0.14;0.05;0;0
Transformers: Beast Wars Transmetals;PS;2000.00;Fighting;BAM! Entertainment;0.06;0.04;0;0.01
Trivial Pursuit unhinged;XB;2004.00;Misc;Atari;0.07;0.02;0;0
Godzilla Generations;DC;1998.00;Action;Sega;0;0;0.08;0
Kamaitachi no Yoru 2: Tokubetsu Hen;PSP;2006.00;Adventure;ChunSoft;0;0;0.01;0
Madagascar: Escape 2 Africa;PC;2008.00;Action;Activision;0.01;0;0;0
Classic NES Series: Dr. Mario;GBA;2004.00;Puzzle;Nintendo;0.31;0.11;0.13;0.01
Tank! Tank! Tank!;WiiU;2012.00;Action;Namco Bandai Games;0.02;0.01;0.05;0
Speed Racer;PS;1996.00;Racing;Tomy Corporation;0.04;0.02;0;0
Warriors Orochi 3;X360;2011.00;Action;Ubisoft Annecy;0.09;0.03;0.03;0.01
Doom;PS;1994.00;Shooter;Infogrames;0.43;0.3;0;0.05
ArmA II;PC;2009.00;Shooter;505 Games;0;0.12;0;0.03
Pinball Hall of Fame: The Gottlieb Collection;PS2;2004.00;Misc;Play It;0.16;0.12;0;0.04
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni;DS;2008.00;Misc;D3Publisher;0;0;0.02;0
NASCAR 99;N64;1998.00;Racing;Electronic Arts;0.94;0.04;0;0.01
Bust-A-Move Universe;3DS;2011.00;Puzzle;Square Enix;0.08;0.15;0.06;0.03
FIFA 17;X360;2016.00;Sports;Electronic Arts;0.03;0.13;0;0.01
Fantastic Four: Rise of the Silver Surfer;X360;2007.00;Action;Take-Two Interactive;0.1;0.01;0;0.01
Madden NFL 15;X360;2014.00;Sports;Electronic Arts;1.76;0.09;0;0.17
The Lord of the Rings: The Return of the King;GC;2003.00;Action;Electronic Arts;0.53;0.14;0;0.02
Petz Pony: Beauty Pageant;DS;2009.00;Simulation;Ubisoft;0.18;0;0;0.01
Krull;2600;1982.00;Action;Atari;0.13;0.01;0;0
Choro Q;PS2;2003.00;Racing;Zoo Digital Publishing;0.01;0.01;0;0
Divinity: Original Sin;PC;2014.00;Role-Playing;Focus Home Interactive;0;0.02;0;0
Monster High: Ghoul Spirit;DS;2011.00;Misc;THQ;0.72;0.17;0;0.07
Sacred 3;PS3;2014.00;Role-Playing;Deep Silver;0.03;0.05;0.02;0.02
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi;PSP;2012.00;Action;Idea Factory;0;0;0.06;0
Hooked! Again: Real Motion Fishing;Wii;2009.00;Sports;505 Games;0.36;0;0;0.03
Trivial Pursuit;PS2;2009.00;Misc;Electronic Arts;0.09;0.01;0;0.17
Tongari Boushi to Oshare na Mahou Tsukai;DS;2011.00;Action;Konami Digital Entertainment;0;0;0.24;0
Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions);Wii;2009.00;Shooter;Activision;0.24;0.2;0;0.05
Inversion;X360;2012.00;Shooter;Namco Bandai Games;0.03;0.02;0;0.01
Scrabble;PSP;2009.00;Misc;Electronic Arts;0.08;0;0;0.01
Ghost Squad;Wii;2007.00;Shooter;Sega;0.42;0.21;0.08;0.07
Conduit 2;Wii;2011.00;Shooter;Sega;0.07;0.04;0;0.01
NOÃ«L: La Neige;PS;1998.00;Adventure;Pioneer LDC;0;0;0.07;0
Donkey Kong Country;GBA;2003.00;Platform;Nintendo;1.2;0.48;0.29;0.07
NFL Xtreme;PS;1998.00;Sports;Sony Computer Entertainment;0.38;0.26;0;0.05
Pippa Funnell 2: Farm Adventures;DS;2007.00;Simulation;Ubisoft;0;0.01;0;0
Paper Mario;N64;2000.00;Role-Playing;Nintendo;0.58;0.18;0.59;0.02
Iron Man 2;PSP;2010.00;Action;Sega;0.18;0.12;0;0.07
Hannah Montana: Music Jam;DS;2007.00;Action;Disney Interactive Studios;1.06;0.37;0;0.15
Yu-Gi-Oh! Double Pack;GBA;2006.00;Role-Playing;Konami Digital Entertainment;0.2;0.08;0;0.01
Soul Edge;PS;1996.00;Fighting;Sony Computer Entertainment;0.61;0.41;0.46;0.1
Romance of the Three Kingdoms VIII;PS2;2002.00;Strategy;Tecmo Koei;0.05;0.04;0.19;0.01
Tropico 5;PS4;2015.00;Simulation;Kalypso Media;0.05;0.16;0.05;0.04
Chessmaster: The Art of Learning;DS;2007.00;Misc;Ubisoft;0.12;0.03;0;0.01
FIFA Soccer 10;PS3;2009.00;Sports;Electronic Arts;0.6;2.46;0.05;0.52
Front Mission 3;PS;1999.00;Strategy;SquareSoft;0.1;0.07;0.31;0.03
Eragon;PSP;2006.00;Action;Vivendi Games;0.1;0;0;0.01
Sword Art Online: Hollow Fragment;PS4;2015.00;Role-Playing;Namco Bandai Games;0;0.1;0;0.02
Deep Labyrinth;DS;2006.00;Action;505 Games;0.06;0;0;0
BlazBlue: Chrono Phantasma Extend;PS4;2015.00;Action;PQube;0.07;0.03;0.02;0.02
Frankenstein's Monster;2600;1982.00;Action;Data Age;0.3;0.02;0;0
Littlest Pet Shop: Garden;DS;2008.00;Simulation;Electronic Arts;0.31;0.24;0;0.06
NBA 2K2;XB;2002.00;Sports;Sega;0.15;0.04;0;0.01
Junior Island Adventure;DS;2011.00;Puzzle;Unknown;0.03;0;0;0
Disney Fairies: Tinker Bell and the Lost Treasure;DS;2009.00;Adventure;Disney Interactive Studios;0.57;0.35;0.02;0.1
Bookworm;GBA;2004.00;Puzzle;Unknown;0.02;0.01;0;0
Madden NFL 07;PS2;2006.00;Sports;Electronic Arts;3.63;0.24;0.01;0.61
Dynasty Warriors: Gundam 2;X360;2008.00;Action;Namco Bandai Games;0.07;0.03;0.08;0.01
Playboy: The Mansion;XB;2005.00;Simulation;Ubisoft;0.07;0.02;0;0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!;PS3;2011.00;Action;THQ;0.04;0.03;0;0.01
Final Fantasy Legend III;GB;1991.00;Role-Playing;SquareSoft;0;0;0.76;0
Defiance;X360;2013.00;Shooter;Trion Worlds;0.38;0.15;0;0.04
Robots;XB;2005.00;Action;Vivendi Games;0.07;0.02;0;0
Tsuyo Kiss: Mighty Heart;PS2;2006.00;Adventure;Princess Soft;0;0;0.03;0
Eyeshield 21: Field Saikyou no Senshi Tachi;Wii;2007.00;Role-Playing;Nintendo;0;0;0.03;0
Wiffle Ball Advance;DS;2007.00;Sports;Zoo Digital Publishing;0.01;0;0;0
Mushi Bugyou;3DS;2013.00;Action;Namco Bandai Games;0;0;0.01;0
Yu-Gi-Oh! The Sacred Cards (American and Others sales);GBA;2002.00;Role-Playing;Konami Digital Entertainment;0.84;0.27;0;0.05
Pac-Man: Adventures in Time;PSP;2006.00;Fighting;Sony Computer Entertainment;0.76;1.1;0.12;0.65
Popeye;2600;1982.00;Platform;Parker Bros.;0.5;0.03;0;0.01
Frogger's Adventures: The Rescue;GC;2003.00;Platform;Konami Digital Entertainment;0.12;0.03;0;0
Who Wants to Be A Millionaire?;X360;2011.00;Misc;Ubisoft;0.09;0;0;0.01
Line Rider 2: Unbound;Wii;2008.00;Puzzle;Deep Silver;0.02;0;0;0
Transformers: Devastation;X360;2015.00;Action;Activision;0.06;0.02;0;0.01
Mobile Suit Gundam;PS;1995.00;Action;Namco Bandai Games;0;0;0.42;0.03
Shining Tears;PS2;2004.00;Role-Playing;Sega;0.05;0.04;0;0.01
Jewel Master: Cradle of Rome;Wii;2008.00;Puzzle;Rondomedia;0.03;0;0;0
Kawasaki Snowmobiles;Wii;2008.00;Racing;Metro 3D;0.02;0;0;0
Super Real Mahjong P V;SAT;1995.00;Misc;Seta Corporation;0;0;0.19;0
Hiiro no Kakera DS;DS;2008.00;Adventure;Idea Factory;0;0;0.05;0
Pitball;PS;1996.00;Sports;Time Warner Interactive;0.01;0.01;0;0
Rosario to Vampire: Tanabata no Miss Youkai Gakuen;DS;2008.00;Adventure;Capcom;0;0;0.01;0
FlatOut 2;PS2;2006.00;Racing;Empire Interactive;0.08;0.06;0;0.02
Water Sports;Wii;2009.00;Action;Avanquest;0.05;0.04;0;0.01
Petz: Crazy Monkeyz;Wii;2008.00;Simulation;Ubisoft;0.23;0;0;0.02
Disgaea DS;DS;2008.00;Role-Playing;Square Enix;0.11;0.02;0.05;0.01
Battle Rage;Wii;2008.00;Shooter;Popcorn Arcade;0.04;0;0;0
Tekken;PS;1995.00;Fighting;Sony Computer Entertainment;0.95;1.3;0.77;0.22
Monster House;GC;2006.00;Adventure;THQ;0.11;0.03;0;0
Ar tonelico: Melody of Elemia;PS2;2006.00;Role-Playing;505 Games;0;0;0.1;0
Mad Max (2015);XOne;2015.00;Action;Warner Bros. Interactive Entertainment;0.26;0.16;0;0.04
New Super Mario Bros. Wii;Wii;2009.00;Platform;Nintendo;14.59;7.06;4.7;2.26
Sonic Riders: Zero Gravity;Wii;2008.00;Racing;Sega;0.5;0.32;0.02;0.1
4x4 EVO 2;GC;2002.00;Racing;Vivendi Games;0.11;0.03;0;0
Let's Sing 2016;PS4;2015.00;Action;FuRyu Corporation;0.02;0;0;0.01
Quest 64;N64;1998.00;Role-Playing;Konami Digital Entertainment;0.38;0.08;0;0.01
Ben 10: Alien Force;PS2;2008.00;Action;Koch Media;0.22;0.02;0;0.33
College Hoops 2K6;X360;2006.00;Sports;Take-Two Interactive;0.11;0;0;0.01
The History Channel: Civil War - Secret Missions;PS3;2008.00;Shooter;Activision;0.09;0;0;0.01
Wreckless: ThE YaKuza MisSiOns;XB;2002.00;Racing;Activision;0.42;0.11;0.02;0.02
Rise of Nightmares;X360;2011.00;Action;Sega;0.28;0.13;0.01;0.04
Kawa no Nushi Tsuri;PS;1998.00;Sports;Victor Interactive;0;0;0.15;0.01
PGA Tour 97;PS;1996.00;Sports;Electronic Arts;0.16;0.11;0;0.02
Crash Bandicoot 2: Cortex Strikes Back;PS;1997.00;Platform;Sony Computer Entertainment;3.78;2.17;1.31;0.31
Hakuouki;PS2;2008.00;Adventure;Idea Factory;0;0;0.03;0
FlatOut: Ultimate Carnage;X360;2007.00;Racing;Empire Interactive;0.07;0.03;0;0.01
Top Spin 4;X360;2011.00;Sports;Take-Two Interactive;0.15;0.23;0;0.04
We Ski;Wii;2008.00;Sports;Namco Bandai Games;0.99;0.42;0.14;0.15
The Mysterious Murasame Castle;NES;1986.00;Action;Nintendo;0;0;0.57;0
Snowboard Kids 2;N64;1999.00;Sports;Atlus;0.09;0.02;0;0
Street Fighter X Tekken;PS3;2012.00;Fighting;Capcom;0.42;0.22;0.1;0.1
S.Y.K: Shinsetsu Saiyuuki Portable;PSP;2010.00;Adventure;Idea Factory;0;0;0.01;0
The Terminator: Dawn of Fate;XB;2002.00;Action;Atari;0.11;0.03;0;0.01
Super Heroine Chronicle;PS3;2014.00;Role-Playing;Namco Bandai Games;0;0;0.03;0
Mortal Kombat: Deadly Alliance;XB;2002.00;Fighting;Midway Games;0.77;0.15;0;0.04
1 vs. 100;DS;2008.00;Misc;DSI Games;0.08;0;0;0.01
Guitar Hero Live;PS3;2015.00;Misc;Activision;0.09;0.14;0;0.05
Pro Evolution Soccer 2010;Wii;2009.00;Sports;Konami Digital Entertainment;0.12;0.27;0.06;0.05
Shenmue II;XB;2002.00;Adventure;Microsoft Game Studios;0.22;0.08;0;0.01
Dungeons & Dragons: Neverwinter Nights - Complete;PC;2011.00;Misc;Atari;0.01;0;0;0
Endless Ocean: Blue World;Wii;2009.00;Simulation;Nintendo;0.47;0.22;0.12;0.07
World Soccer Winning Eleven 7;PS2;2003.00;Sports;Konami Digital Entertainment;0.12;0.09;0;0.03
The Amazing Race;Wii;2010.00;Misc;Ubisoft;0.13;0;0;0.01
Hirameki Action: Chibikko Wagyan no Daiki na Bouken;DS;2009.00;Action;Namco Bandai Games;0;0;0.01;0
